,Season,Team1,Team2,Team1ID,Team2ID
0,2018,Virginia,UMBC,1438,1420
1,2018,Creighton,Kansas St,1166,1243
2,2018,Kentucky,Davidson,1246,1172
3,2018,Arizona,Buffalo,1112,1138
4,2018,Miami FL,Loyola-Chicago,1274,1260
5,2018,Tennessee,Wright St,1397,1460
6,2018,Nevada,Texas,1305,1400
7,2018,Cincinnati,Georgia St,1153,1209
8,2018,Xavier,NC Central,1462,1300
9,2018,Missouri,Florida St,1281,1199
10,2018,Ohio St,South Dakota,1326,1377
11,2018,Gonzaga,UNC Greensboro,1211,1422
12,2018,Houston,San Diego St,1222,1361
13,2018,Michigan,Montana,1276,1285
14,2018,Texas A&M,Providence,1401,1344
15,2018,North Carolina,Lipscomb,1314,1252
16,2018,Villanova,Radford,1437,1347
17,2018,Virginia Tech,Alabama,1439,1104
18,2018,West Virginia,Murray St,1452,1293
19,2018,Wichita St,Marshall,1455,1267
20,2018,Florida,St Bonaventure,1196,1382
21,2018,Texas Tech,SF Austin,1403,1372
22,2018,Arkansas,Butler,1116,1139
23,2018,Purdue,CS Fullerton,1345,1168
24,2018,Kansas,Penn,1242,1335
25,2018,Seton Hall,NC State,1371,1301
26,2018,Clemson,New Mexico St,1155,1308
27,2018,Auburn,Col Charleston,1120,1158
28,2018,TCU,Syracuse,1395,1393
29,2018,Michigan St,Bucknell,1277,1137
30,2018,Rhode Island,Oklahoma,1348,1328
31,2018,Duke,Iona,1181,1233
